Comment,Designator,Footprint,LCSC Part #
22uF 10V X5R 20%,"C10,C11,C12,C23,C24",C_0603_1608Metric,C86295
470nF 16V X7R 10%,C13,C_0402_1005Metric,C471404
2.2nF 50V X7R 10%,C17,C_0402_1005Metric,C1531
100uF 6.3V polymer 35mR,C19,CP_EIA-3528-21_Kemet-B,C79109
10uF 25V X5R 20%,"C20,C21,C22,C65",C_0603_1608Metric,C96446
100nF 16V X7R 10%,"C30,C31,C32,C33,C34,C35,C36,C37,C38,C40,C42,C43,C44,C48,C49,C50,C52,C54,C56,C58,C60,C62,C64,C70,C71,C72,C78,C79",C_0402_1005Metric,C1525
4.7uF 10V X5R 20%,"C39,C41,C45",C_0402_1005Metric,C23733
18pF 50V C0G 1%,"C46,C47",C_0402_1005Metric,C541431
47uF 6.3V X5R 20%,C66,C_0805_2012Metric,C16780
1uF 25V X5R 10%,"C7,C25,C26,C51,C53,C55,C57,C59,C61,C63",C_0402_1005Metric,C52923
10uF 50V X5R 10%,C73,C_0805_2012Metric,C440198
100nF 50V X7R 10%,"C74,C75",C_0402_1005Metric,C307331
22uF 25V X5R 20%,"C76,C77,C80",C_0805_2012Metric,C45783
10uF 25V X5R 20%,"C8,C9",C_0603_1608Metric,C96446
WS2812C-2020-V1,D20,LED_WS2812B-2020_PLCC4_2.0x2.0mm,C2976072
BLE18PS080SN1D,FB1,L_0603_1608Metric,C3764407
microSD Molex 104031-0811,J11,microSD_HC_Molex_104031-0811,C585350
USB-C TYPE-C-31-M-12,J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
2.2uH FTC303020D2R2MBCA,L2,L_Changjiang_FTC303020D,C7423318
3.3uH 0806 1.9A 250mR,L20,L_Murata_DFE201610P,C48783272
4.7uH FTC404030S4R7MGCA,L3,L_Changjiang_FTC404030S,C39676083
100k 1% 0402,R10,R_0402_1005Metric,C25741
33R 1% 0402,R20,R_0402_1005Metric,C25105
1k 1% 0402,"R21,R53",R_0402_1005Metric,C11702
27R 1% 0402,"R22,R23",R_0402_1005Metric,C2909343
1k 1% 0402,"R24,R54",R_0402_1005Metric,C11702
4.7k 1% 0402,"R25,R26",R_0402_1005Metric,C25900
100k 1% 0402,"R27,R52",R_0402_1005Metric,C25741
10k 1% 0402,"R28,R29,R43,R45,R47",R_0402_1005Metric,C25744
15k 1% 0402,R30,R_0402_1005Metric,C25756
10k 1% 0402,"R35,R36,R37,R38,R39,R40,R41,R48,R50,R51",R_0402_1005Metric,C25744
5.1k 1% 0402,"R4,R5",R_0402_1005Metric,C25905
32.4k 1% 0402,R42,R_0402_1005Metric,C22369333
45.3k 1% 0402,R44,R_0402_1005Metric,C137977
80.6k 1% 0402,R46,R_0402_1005Metric,C2998147
100R 1% 0402,R55,R_0402_1005Metric,C25076
10k 0.1% 25ppm 0402 RT0402BRD0710KL,R7,R_0402_1005Metric,C190095
3.16k 0.1% 25ppm 0402 RT0402BRD073K16L,R8,R_0402_1005Metric,C852759
6.04k 1% 0402,R9,R_0402_1005Metric,C25913
B3U-1000P,SW1,SW_SPST_B3U-1000P,C231329
B3U-1000P,SW2,SW_SPST_B3U-1000P,C231329
TPS7A2033PDBVR,U12,SOT-23-5,C2862740
RP2354B,U20,QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm,C39843328
ICM-45686,U21,InvenSense_LGA-14_2.5x3mm_P0.5mm_ICM45686,C22459454
BMP581,U22,Bosch_LGA-10_2x2mm_BMP581,C5362283
ADXL375BCCZ,U23,Analog_LGA-14_3x5mm_P0.8mm_ADXL375,C579466
TPS2121RUXR,U25,Texas_VQFN-HR-12_2x2.5mm_P0.5mm,C485916
AP63205WU-7,U26,TSOT-23-6,C2071056
TPS62913RPUR,U7,Texas_RPU0010A_VQFN-HR-10_2x2mm_P0.5mm,C5189914
USBLC6-2SC6,U8,SOT-23-6,C2687116
12MHz 12pF SMD3225-4P,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C133337
