Designator,Mid X,Mid Y,Layer,Rotation
C10,-18.2500,-1.2500,Top,90.00
C11,-16.5000,-1.2500,Top,90.00
C13,-15.0000,-1.7500,Top,90.00
C19,-21.0000,-0.2500,Top,90.00
C20,11.0000,10.5000,Top,0.00
C21,13.5000,12.0000,Top,90.00
C22,6.5000,5.7500,Top,0.00
C25,8.2500,7.5000,Top,180.00
C26,14.2500,8.0000,Top,90.00
C30,7.7500,-5.5000,Top,0.00
C31,7.7500,0.7500,Top,0.00
C32,3.7500,5.5000,Top,0.00
C33,1.7500,5.5000,Top,0.00
C34,-6.0000,3.5000,Top,180.00
C35,-6.0000,-1.2500,Top,180.00
C36,-6.0000,-5.5000,Top,180.00
C37,3.0000,-8.0000,Top,270.00
C38,1.7500,-8.0000,Top,270.00
C39,-0.7500,-10.2500,Top,270.00
C40,-6.0000,-6.7500,Top,180.00
C41,-4.2500,-8.0000,Top,270.00
C42,7.7500,-1.2500,Top,0.00
C43,-0.5000,5.5000,Top,180.00
C44,-6.0000,-0.0000,Top,180.00
C45,-8.0000,-0.7500,Top,180.00
C46,-0.4000,8.2000,Top,90.00
C47,5.6000,8.2000,Top,90.00
C48,-6.0000,-2.5000,Top,180.00
C49,-6.0000,1.2500,Top,180.00
C50,14.0000,-3.7500,Top,0.00
C51,14.0000,-2.5000,Top,0.00
C52,8.2500,-3.7500,Top,90.00
C53,10.7500,-0.7500,Top,0.00
C54,12.7500,1.7500,Top,0.00
C55,12.7500,0.5000,Top,0.00
C56,10.7500,3.2500,Top,0.00
C57,8.7500,3.2500,Top,180.00
C58,7.7500,-10.5000,Top,180.00
C59,5.7500,-10.7500,Top,180.00
C60,8.2500,-7.2500,Top,270.00
C61,6.5000,-7.5000,Top,180.00
C62,1.7617,-13.2400,Top,0.00
C63,4.1617,-13.2400,Top,0.00
C64,-10.2500,22.0000,Top,0.00
C65,-3.0000,19.2500,Top,270.00
C66,-19.7500,20.0000,Top,180.00
C7,-15.0000,-7.7500,Top,90.00
C78,-6.0000,-3.7500,Top,180.00
C79,2.7500,-20.0000,Top,0.00
C8,-19.5000,-8.2500,Top,270.00
C9,-18.0000,-7.7500,Top,270.00
D1,-23.5000,-8.5000,Top,270.00
D20,0.0000,-20.5500,Top,0.00
J11,-10.8150,14.6050,Top,0.00
J4,-7.0000,-19.1000,Top,0.00
L2,-11.8500,-4.8000,Top,0.00
L20,-2.5000,-8.2500,Top,270.00
Q1,-22.3500,-4.8000,Top,0.00
R10,-1.7500,7.2500,Top,270.00
R20,-5.5000,-8.5000,Top,90.00
R21,2.6000,10.7000,Top,0.00
R22,0.5000,-8.0000,Top,90.00
R23,-0.7500,-8.0000,Top,90.00
R24,2.5000,-9.7500,Top,0.00
R25,14.7500,9.7500,Top,0.00
R26,14.7500,4.7500,Top,270.00
R27,-8.2500,-4.5000,Top,0.00
R28,-8.2500,-2.0000,Top,180.00
R29,-8.2500,1.7500,Top,0.00
R30,-8.2500,0.5000,Top,180.00
R35,4.2500,-8.0000,Top,90.00
R36,-12.5000,22.0000,Top,0.00
R37,-6.7500,22.0000,Top,180.00
R38,-4.5000,22.0000,Top,180.00
R39,-17.0000,22.0000,Top,0.00
R4,-13.2500,-15.0000,Top,90.00
R40,-14.7500,22.0000,Top,0.00
R41,-18.5000,11.2500,Top,90.00
R48,13.0000,-0.7500,Top,0.00
R5,-0.7500,-15.0000,Top,90.00
R50,14.5000,1.0000,Top,90.00
R51,13.0000,3.0000,Top,0.00
R52,-16.7500,-7.7500,Top,90.00
R53,-8.2500,-3.2500,Top,0.00
R54,-3.7500,5.5000,Top,0.00
R55,2.7500,-21.2500,Top,180.00
R7,-23.5000,-1.7500,Top,90.00
SW1,-10.0000,-11.6900,Top,0.00
SW2,-4.2000,-11.6900,Top,0.00
U12,11.4400,6.6000,Top,0.00
U20,0.8000,-1.0000,Top,180.00
U21,10.8400,-3.0000,Top,0.00
U22,10.2900,1.2000,Top,0.00
U23,11.0400,-8.5000,Top,0.00
U7,-16.8500,-4.8000,Top,0.00
Y1,2.6000,8.2000,Top,0.00
